freq,longitude,latitude
2,8.24072529,56.77887529,"Agger <br> Tyborøn <br> Agger Bakker, Mors"
1,8.29581513,56.81791974,"Borg <br> Lodbjærg <br> Lodbjærg ell. Tølbøl kirke <br> Svegård"
1,10.30657345,56.99519175,"Hals <br> Hals ladegård <br> Hals skov <br> Hals"
1,10.58465749,56.5070087,"Fjellerup <br> Fjellerup strand <br> Fjellerup Nørre herred <br> Fjellerup ved Grenå <br> Hagenbjærggård Fjellerup Nørre herred"
3,11.54457708,56.70505201,"Anholt <br> Anholt (eller Anhof) under Glorup  <br> Anholt"
1,10.43464686,55.95250277,Tunø
1,8.17369803,56.62066705,"Flyvholm <br> Harboøre <br> Knopper <br> Langerhuse <br> Nørre-Langer <br> Rønland <br> Sønder-Langer"
1,8.12263815,56.52656399,"Bovbjærg <br> Ferring <br> St.-Borup. Fjerring <br> Ferring ved Lemvig"
1,8.14158228,56.47814353,"Fjaltring <br> Fjand <br> Øster-mølle <br> Fjaltring ved Lemvig"
3,8.18988814,56.30624905,"Bjærggård <br> Udstrup  <br> Fjande <br> Fjande grønne <br> Fjandø <br> Kabel kirke <br> Nissum fjord <br> Sønder-Nissum <br> Torsminde <br> Udstrup hede <br> Voldegård <br> Bjærg huse Fjand <br> Fjand S-Nissum <br> S-Nissum"
1,8.21425645,56.19854236,"Mejlby <br> Østertoft <br> Søndervang <br> Stadil <br> Stadil fjord"
1,8.20005733,56.23337586,"Åbjærg <br> Vedersø <br> Vedersø Ulfborg"
1,8.33130981,55.6159675,"Billum <br> Kjelst <br> Tarp <br> Billum Varde <br> Billum ved Varde <br> Hannevang Billum ved Varde <br> Kjelst ved Varde"
2,8.1431204,55.55530123,"Nørby <br> Blåvand <br> Bredmose <br> Horns rev <br> Oksby <br> Vejers"
1,8.28146,55.632333,"Ål <br> Borg <br> Skjødstrup <br> Børsmose <br> Hesselmed <br> Lille og Store-Jenses høj <br> Tudel <br> Al ved Varde <br> Markskjælbæk Ål ved Varde"
